Place,Country,Score,Status,Type
95, Kyrgyzstan ,5.24,Hybrid regime,Parliament
96, Uganda ,5.22,Hybrid regime,Presidential
97, Kenya ,5.13,Hybrid regime,Presidential
98, Turkey ,5.12,Hybrid regime,Parliament
98, Lebanon ,5.12,Hybrid regime,Parliament
100, Venezuela ,5.07,Hybrid regime,Presidential
101, Liberia ,4.95,Hybrid regime,Presidential
102, Bhutan ,4.87,Hybrid regime,Active monarch
103, Bosnia & Herzegovina ,4.78,Hybrid regime,Parliament
103, Cambodia ,4.78,Hybrid regime,Ceremonial monarch
105,   Nepal ,4.77,Hybrid regime,Parliament
106, Palestinian Authority ,4.72,Hybrid regime,Semi-presidential
107, Mozambique ,4.66,Hybrid regime,Presidential
108, Pakistan ,4.64,Hybrid regime,Parliament
109, Sierra Leone ,4.56,Hybrid regime,Presidential
110, Madagascar ,4.42,Hybrid regime,Semi-presidential
111, Iraq ,4.23,Hybrid regime,Parliament
112, Mauritania ,4.17,Hybrid regime,Semi-presidential
113, Armenia ,4.13,Hybrid regime,Semi-presidential
114, Burkina Faso ,4.09,Hybrid regime,Semi-presidential
115, Niger ,4.02,Hybrid regime,Presidential
116, Morocco ,4,Authoritarian regime,Active monarch
117, Algeria ,3.83,Authoritarian regime,Semi-presidential
118, Haiti ,3.82,Authoritarian regime,Semi-presidential
119, Libya ,3.8,Authoritarian regime,Parliament
120, Kuwait ,3.78,Authoritarian regime,Active monarch
121, Jordan ,3.76,Authoritarian regime,Active monarch
121, Gabon ,3.76,Authoritarian regime,Presidential
121, Nigeria ,3.76,Authoritarian regime,Presidential
124, Ethiopia ,3.72,Authoritarian regime,Parliament
125, Belarus ,3.69,Authoritarian regime,Presidential
126, Côte d'Ivoire ,3.53,Authoritarian regime,Presidential
127, Cuba ,3.52,Authoritarian regime,Single party
127, Comoros ,3.52,Authoritarian regime,Presidential
129, Togo ,3.45,Authoritarian regime,Presidential
130, Vietnam ,3.41,Authoritarian regime,Single party
130, Cameroon ,3.41,Authoritarian regime,Presidential
132, Russia ,3.39,Authoritarian regime,Semi-presidential
133, Angola ,3.35,Authoritarian regime,Presidential
134, Burundi ,3.33,Authoritarian regime,Presidential
135, Rwanda ,3.25,Authoritarian regime,Presidential
136, Qatar ,3.18,Authoritarian regime,Absolute monarch
137, Kazakhstan ,3.17,Authoritarian regime,Presidential
138, Egypt ,3.16,Authoritarian regime,Transitional
139, Oman ,3.15,Authoritarian regime,Absolute monarch
140, Swaziland ,3.09,Authoritarian regime,Absolute monarch
141, Burma ,3.05,Authoritarian regime,Presidential
141, The Gambia ,3.05,Authoritarian regime,Presidential
143, Guinea ,3.01,Authoritarian regime,Presidential
144, China ,3,Authoritarian regime,Single party
145, Djibouti ,2.99,Authoritarian regime,Semi-presidential
146, Republic of the Congo ,2.89,Authoritarian regime,Presidential
147, Bahrain ,2.87,Authoritarian regime,Active monarch
148, Azerbaijan ,2.83,Authoritarian regime,Presidential
149, Yemen ,2.79,Authoritarian regime,Presidential
150, Zimbabwe ,2.78,Authoritarian regime,Presidential
151, Afghanistan ,2.77,Authoritarian regime,Presidential
152, United Arab Emirates ,2.64,Authoritarian regime,Active monarch
153, Sudan ,2.54,Authoritarian regime,Presidential
154, Uzbekistan ,2.45,Authoritarian regime,Presidential
155, Eritrea ,2.44,Authoritarian regime,Transitional
156, Tajikistan ,2.37,Authoritarian regime,Semi-presidential
157, Laos ,2.21,Authoritarian regime,Single party
158, Iran ,1.98,Authoritarian regime,Theocracy
159, Guinea-Bissau ,1.93,Authoritarian regime,Semi-presidential
160, Turkmenistan ,1.83,Authoritarian regime,Presidential
161, Saudi Arabia ,1.82,Authoritarian regime,Absolute monarch
162, Democratic Republic of the Congo ,1.75,Authoritarian regime,Semi-presidential
163, Syria ,1.74,Authoritarian regime,Semi-presidential
164, Equatorial Guinea ,1.66,Authoritarian regime,Presidential
165, Chad ,1.5,Authoritarian regime,Presidential
166, Central African Republic ,1.49,Authoritarian regime,Presidential
167, North Korea ,1.08,Authoritarian regime,Single party
